parameter,description,value
chd1_f_ar_age_int_meno,Accelerated ratio of incident CHD in female by age AND menopause (year),1.075300331
chd1_f_ar_tch_int_hdl,Accelerated ratio of incident CHD in female by ln (total cholesterol/HDL),0.534940368
chd1_f_ar_sbp,Accelerated ratio of incident CHD in female by ln (SBP) (lnmmHg),0.105938134
chd1_f_ar_sbp_int_atht,Accelerated ratio of incident CHD in female by (200 - SBP) * (SBP - 110) / 100 (mmHg) AND using antihypertensive therapy,0.906648904
chd1_f_ar_db,Accelerated ratio of incident CHD in female by diabetes,0.591969598
chd1_f_ar_smk,Accelerated ratio of incident CHD in female by current smoker,0.685436101
chd1_f_ar_tri,Accelerated ratio of incident CHD in female by ln (triglycerides) (ln mg/dL),1.308393436
chd1_f_ar_alcohol,Accelerated ratio of incident CHD in female by alcohol (ow/wk),1.054324207
chd1_f_aft_weibull_scale,Scale of accelerated failure time weibull model of incident CHD in female,0.7467
chd2_m_aft_weibull_intercept,Intercept of accelerated failure time weibull model of subsequent CHD in male,4.995
chd2_m_ar_age,Accelerated ratio of subsequent CHD in male by age (year),0.985604619
chd2_m_ar_tch_int_hdl,Accelerated ratio of subsequent CHD in male by ln (total cholesterol/HDL),0.509767775
chd2_m_ar_db,Accelerated ratio of subsequent CHD in male by diabetes,0.737713309
chd2_m_aft_weibull_scale,Scale of accelerated failure time weibull model of subsequent CHD in male,0.9994
chd2_f_aft_weibull_intercept,Intercept of accelerated failure time weibull model of subsequent CHD in female,13.537
chd2_f_ar_age,Accelerated ratio of subsequent CHD in female by age (year),0.977751237
chd2_f_ar_tch_int_hdl,Accelerated ratio of subsequent CHD in female by ln (total cholesterol/HDL),0.434308573
chd2_f_ar_sbp,Accelerated ratio of subsequent CHD in female by ln (SBP) (lnmmHg),0.253776835
chd2_f_ar_db,Accelerated ratio of subsequent CHD in female by diabetes,0.45707856
chd2_f_ar_smk,Accelerated ratio of subsequent CHD in female by current smoker,0.692878929
chd2_f_aft_weibull_scale,Scale of accelerated failure time weibull model of subsequent CHD in female,1.0313
strk_m_aft_exp_rate,Rate of exponential model of stroke in male,0.003045921
strk_m_hr_age,Hazard ratio of stroke in male by age (centre at 50 per 10 years),1.050010328
strk_m_hr_sbp,Hazard ratio of stroke in male by SBP (centred at 110 per 10 mmHg),1.015316108
strk_m_hr_sbp_int_atht,Hazard ratio of stroke in male by (200 - SBP) * (SBP - 110) / 100 (mmHg) AND using antihypertensive therapy,1.000190018
strk_m_hr_cvd,Hazard ratio of stroke in male by CVD,1.726333853
strk_m_hr_lvh,Hazard ratio of stroke in male by left ventricular hypertrophy,2.19547846
strk_m_hr_smk,Hazard ratio of stroke in male by Current smoker,1.686069364
strk_m_hr_af,Hazard ratio of stroke in male by atrial fabriation,1.821754413
strk_m_hr_db,Hazard ratio of stroke in male by diabetes,1.409027852
strk_f_aft_exp_rate,Rate of exponential model of stroke in female,0.001005034
strk_f_hr_age,Hazard ratio of stroke in female by age (centre at 50 per 10 years),1.072400936
strk_f_hr_sbp,Hazard ratio of stroke in female by SBP (centred at 110 per 10 mmHg),1.016230303
strk_f_hr_sbp_int_atht,Hazard ratio of stroke in female by (200 - SBP) * (SBP - 110) / 100 (mmHg) AND using antihypertensive therapy,1.000260034
strk_f_hr_cvd,Hazard ratio of stroke in female by CVD,1.553328426
strk_f_hr_lvh,Hazard ratio of stroke in female by left ventricular hypertrophy,2.237815127
strk_f_hr_smk,Hazard ratio of stroke in female by current smoker,1.719270375
strk_f_hr_af,Hazard ratio of stroke in female by atrial fabriation,3.056590258
strk_f_hr_db,Hazard ratio of stroke in female by diabetes,1.751372909
death_m_smr,SMR of death in schizophrenia in male,4.1
death_f_smr,SMR of death in schizophrenia in female,2.8
death_strk_m_prop,Proportion of death at stroke in male,0.264
death_strk_f_prop,Proportion of death at stroke in female,0.285
death_chd_m_prop,Proportion of death at CHD in male,0.078245056
death_chd_f_prop,Proportion of death at CHD in female,0.122904422
death_agc_prop,Proportion of death at agranulocytosis,0.021505376
qol_rcvr,Utility weight at stable state of schizophrenia,0.807037815
qol_rlps,Utility weight at relapse state of schizophrenia,0.539635628
qol_rd_agc,Utility weight by agranulocytosis,0.46
qol_md_eps,Utility decrement due to EPS,-0.042
qol_md_sdtn,Utility decrement due to sedation,-0.018
qol_md_sxdf,Utility decrement due to sexual dysfunction,-0.023
qol_md_wg,Utility decrement due to weight gain,-0.021
qol_md_td,Utility decrement due to tardive dyskinesia,-0.042
qol_md_db,Utility decrement due to diabetes,-0.15
qol_md_chd,Utility decrement due to CHD,-0.055
qol_md_strk,Utility decrement due to stroke,-0.16
cost_y_ami,Annual drug tariff of amisulpride oral,85.83375
cost_y_ari,Annual drug tariff of aripiprazole oral,23.74125
cost_y_car,Annual drug tariff of cariprazine oral,1048.2675
cost_y_lur,Annual drug tariff of lurasidone oral,1183.41
cost_y_ola,Annual drug tariff of olanzapine oral,22.828125
cost_y_que,Annual drug tariff of quetiapine oral,93.2605
cost_y_ris,Annual drug tariff of risperidone oral,159.7207813
cost_y_clo,Annual drug tariff of clozapine oral,867.834
cost_y_ari2,Annual drug tariff of aripiprazole LAI,2644.92
cost_y_pal2,Annual drug tariff of paliperidone LAI,3771.745
cost_y_ris2,Annual drug tariff of risperidone LAI,1374.647
cost_agc,Cost per episode of agranulocytosis,858
cost_eps,Cost per episode of EPS,224.5607143
cost_sdtn,Cost per episode of sedation,39
cost_sxdf,Cost per episode of sexual dysfunction,39
cost_wg,Cost per episode of weight gain,98
cost_td,Cost per episode of tardive dyskinesia,224.5607143
cost_y_chd_same_cvd0,Annual cost of CHD in people without prior CVD in year of CHD,4530
cost_y_chd_1y_cvd0,Annual cost of CHD in people without prior CVD in 1 year after CHD,560
cost_y_chd_2y_cvd0,Annual cost of CHD in people without prior CVD in 2 years after CHD,380
cost_y_chd_ge3y_cvd0,Annual cost of CHD in people without prior CVD in ?3 years after CHD,350
cost_y_chd_same_cvd1,Annual cost of CHD in people with prior CVD in year of CHD,5840
cost_y_chd_1y_cvd1,Annual cost of CHD in people with prior CVD in 1 year after CHD,940
cost_y_chd_2y_cvd1,Annual cost of CHD in people with prior CVD in 2 years after CHD,600
cost_y_chd_ge3y_cvd1,Annual cost of CHD in people with prior CVD in ?3 years after CHD,600
cost_y_strk_same_cvd0,Annual cost of stroke in people without prior CVD in year of stroke,5950
cost_y_strk_1y_cvd0,Annual cost of stroke in people without prior CVD in 1 year after stroke,1420
cost_y_strk_2y_cvd0,Annual cost of stroke in people without prior CVD in 2 years after stroke,770
cost_y_strk_ge3y_cvd0,Annual cost of stroke in people without prior CVD in ?3 years after stroke,670
cost_y_strk_same_cvd1,Annual cost of stroke in people with prior CVD in year of stroke,6600
cost_y_strk_1y_cvd1,Annual cost of stroke in people with prior CVD in 1 year after stroke,1610
cost_y_strk_2y_cvd1,Annual cost of stroke in people with prior CVD in 2 years after stroke,1240
cost_y_strk_ge3y_cvd1,Annual cost of stroke in people with prior CVD in ?3 years after stroke,1240
cost_y_db_lt10y_cvd0,Annual cost of diabetes in people without prior CVD in < 10 years after diabetes,520
cost_y_db_ge10y_cvd0,Annual cost of diabetes in people without prior CVD in ?10 years after diabetes,650
cost_y_db_lt10y_cvd1,Annual cost of diabetes in people with prior CVD in < 10 years after diabetes,650
cost_y_db_ge10y_cvd1,Annual cost of diabetes in people with prior CVD in ?10 years after diabetes,810
cost_vd_cvd0,Cost of death due to CHD or stroke in people without prior CVD,1460
cost_vd_cvd1,Cost of death due to CHD or stroke in people with prior CVD,2700
cost_nvd_cvd0,Cost of death due to the other resaons in people without prior CVD,5740
cost_nvd_cvd1,Cost of death due to the other resaons in people with prior CVD,6240
cost_y_rcvr,Annual cost of schizophrenia state of stable,6647.508703
cost_y_rlps,Annual cost of schizophrenia state of relapse at non-acute phase,5320.714705
cost_rlps,Cost of managing acute phase of a relapse episode,28645.45779
